BNA region	YEO network	Yeo Labels
BNA 105	1	Visual
BNA 119	1	Visual
BNA 135	1	Visual
BNA 189	1	Visual
BNA 191	1	Visual
BNA 193	1	Visual
BNA 195	1	Visual
BNA 197	1	Visual
BNA 199	1	Visual
BNA 201	1	Visual
BNA 203	1	Visual
BNA 205	1	Visual
BNA 207	1	Visual
BNA 209	1	Visual
BNA 9	2	SMN
BNA 53	2	SMN
BNA 57	2	SMN
BNA 59	2	SMN
BNA 65	2	SMN
BNA 67	2	SMN
BNA 71	2	SMN
BNA 73	2	SMN
BNA 75	2	SMN
BNA 131	2	SMN
BNA 155	2	SMN
BNA 157	2	SMN
BNA 159	2	SMN
BNA 161	2	SMN
BNA 163	2	SMN
BNA 171	2	SMN
BNA 7	3	DAN
BNA 25	3	DAN
BNA 55	3	DAN
BNA 63	3	DAN
BNA 85	3	DAN
BNA 91	3	DAN
BNA 97	3	DAN
BNA 107	3	DAN
BNA 125	3	DAN
BNA 127	3	DAN
BNA 129	3	DAN
BNA 133	3	DAN
BNA 139	3	DAN
BNA 1	4	VAN
BNA 15	4	VAN
BNA 37	4	VAN
BNA 61	4	VAN
BNA 145	4	VAN
BNA 149	4	VAN
BNA 167	4	VAN
BNA 169	4	VAN
BNA 173	4	VAN
BNA 183	4	VAN
BNA 185	4	VAN
BNA 45	5	limbic
BNA 47	5	limbic
BNA 49	5	limbic
BNA 69	5	limbic
BNA 77	5	limbic
BNA 89	5	limbic
BNA 93	5	limbic
BNA 101	5	limbic
BNA 103	5	limbic
BNA 109	5	limbic
BNA 111	5	limbic
BNA 115	5	limbic
BNA 117	5	limbic
BNA 17	6	FPN
BNA 19	6	FPN
BNA 21	6	FPN
BNA 29	6	FPN
BNA 31	6	FPN
BNA 99	6	FPN
BNA 137	6	FPN
BNA 147	6	FPN
BNA 177	6	FPN
BNA 3	7	DMN
BNA 5	7	DMN
BNA 11	7	DMN
BNA 13	7	DMN
BNA 23	7	DMN
BNA 27	7	DMN
BNA 33	7	DMN
BNA 35	7	DMN
BNA 39	7	DMN
BNA 41	7	DMN
BNA 43	7	DMN
BNA 51	7	DMN
BNA 79	7	DMN
BNA 81	7	DMN
BNA 83	7	DMN
BNA 87	7	DMN
BNA 95	7	DMN
BNA 113	7	DMN
BNA 121	7	DMN
BNA 123	7	DMN
BNA 141	7	DMN
BNA 143	7	DMN
BNA 151	7	DMN
BNA 153	7	DMN
BNA 165	7	DMN
BNA 175	7	DMN
BNA 179	7	DMN
BNA 181	7	DMN
BNA 187	7	DMN
BNA 211	8	subcortical
BNA 213	8	subcortical
BNA 215	8	subcortical
BNA 217	8	subcortical
BNA 219	8	subcortical
BNA 221	8	subcortical
BNA 223	8	subcortical
BNA 225	8	subcortical
BNA 227	8	subcortical
BNA 229	8	subcortical
BNA 231	8	subcortical
BNA 233	8	subcortical
BNA 235	8	subcortical
BNA 237	8	subcortical
BNA 239	8	subcortical
BNA 241	8	subcortical
BNA 243	8	subcortical
BNA 245	8	subcortical
BNA 106	1	Visual
BNA 108	1	Visual
BNA 114	1	Visual
BNA 120	1	Visual
BNA 152	1	Visual
BNA 190	1	Visual
BNA 192	1	Visual
BNA 194	1	Visual
BNA 196	1	Visual
BNA 198	1	Visual
BNA 200	1	Visual
BNA 202	1	Visual
BNA 204	1	Visual
BNA 206	1	Visual
BNA 208	1	Visual
BNA 210	1	Visual
BNA 10	2	SMN
BNA 54	2	SMN
BNA 58	2	SMN
BNA 60	2	SMN
BNA 66	2	SMN
BNA 68	2	SMN
BNA 72	2	SMN
BNA 74	2	SMN
BNA 76	2	SMN
BNA 80	2	SMN
BNA 132	2	SMN
BNA 156	2	SMN
BNA 158	2	SMN
BNA 160	2	SMN
BNA 162	2	SMN
BNA 164	2	SMN
BNA 172	2	SMN
BNA 8	3	DAN
BNA 56	3	DAN
BNA 64	3	DAN
BNA 86	3	DAN
BNA 92	3	DAN
BNA 98	3	DAN
BNA 126	3	DAN
BNA 128	3	DAN
BNA 130	3	DAN
BNA 134	3	DAN
BNA 136	3	DAN
BNA 140	3	DAN
BNA 148	3	DAN
BNA 150	3	DAN
BNA 2	4	VAN
BNA 38	4	VAN
BNA 62	4	VAN
BNA 124	4	VAN
BNA 146	4	VAN
BNA 166	4	VAN
BNA 168	4	VAN
BNA 170	4	VAN
BNA 174	4	VAN
BNA 180	4	VAN
BNA 184	4	VAN
BNA 186	4	VAN
BNA 46	5	limbic
BNA 48	5	limbic
BNA 50	5	limbic
BNA 70	5	limbic
BNA 78	5	limbic
BNA 90	5	limbic
BNA 94	5	limbic
BNA 96	5	limbic
BNA 102	5	limbic
BNA 104	5	limbic
BNA 110	5	limbic
BNA 112	5	limbic
BNA 116	5	limbic
BNA 118	5	limbic
BNA 16	6	FPN
BNA 18	6	FPN
BNA 20	6	FPN
BNA 22	6	FPN
BNA 24	6	FPN
BNA 26	6	FPN
BNA 28	6	FPN
BNA 30	6	FPN
BNA 32	6	FPN
BNA 34	6	FPN
BNA 36	6	FPN
BNA 40	6	FPN
BNA 100	6	FPN
BNA 138	6	FPN
BNA 142	6	FPN
BNA 4	7	DMN
BNA 6	7	DMN
BNA 12	7	DMN
BNA 14	7	DMN
BNA 42	7	DMN
BNA 44	7	DMN
BNA 52	7	DMN
BNA 82	7	DMN
BNA 84	7	DMN
BNA 88	7	DMN
BNA 122	7	DMN
BNA 144	7	DMN
BNA 154	7	DMN
BNA 176	7	DMN
BNA 178	7	DMN
BNA 182	7	DMN
BNA 188	7	DMN
BNA 212	8	subcortical
BNA 214	8	subcortical
BNA 216	8	subcortical
BNA 218	8	subcortical
BNA 220	8	subcortical
BNA 222	8	subcortical
BNA 224	8	subcortical
BNA 226	8	subcortical
BNA 228	8	subcortical
BNA 230	8	subcortical
BNA 232	8	subcortical
BNA 234	8	subcortical
BNA 236	8	subcortical
BNA 238	8	subcortical
BNA 240	8	subcortical
BNA 242	8	subcortical
BNA 244	8	subcortical
BNA 246	8	subcortical
